T,15-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JH,Employer Perspectives 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TID,Table 30/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,C7 - Reasons for not employing any young people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,Base: All who haven't recruited young people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL1,,,Country,,,,6 Sector grouping,,,,,,Establishment size,,,,,Type of site,,,SME,,Organisation type,,,Length of time operating,,,,Vacancies in last 12 months,Recruited in last 12 months,Work experience,,Training,,,,,Vocational Qualifications,,Apprenticeships,,Formal Apprenticeships,,Investors in People,,Business outlook - next 12 months,,,Largest staff group,,,,Vacancies/Recruitment,Training and Planning,,,,Young Growth Businesses,
RTV,,29%,28%,39%,37%,32%,18%,32%,32%,27%,30%,32%,28%,29%,32%,30%,33%,29%,32%,29%,29%,29%,29%,29%,31%,26%,26%,26%,30%,29%,29%,33%,28%,29%,29%,30%,30%,29%,32%,28%,25%,30%,25%,30%,27%,31%,30%,28%,29%,28%,37%,28%,22%,29%,30%,29%,23%,29%,33%,29%
PRC,"Quality: poor attitudes, motivation and/or personality",48823,*40541,1461,*4796,2025,1805,3765,4385,*15700,16345,*6823,19192,*16067,8962,*4168,*434,28844,5541,14438,10237,37334,*42687,*3506,*2408,1255,3449,*4183,39587,48823,48823,14477,34346,*16777,3864,20955,41596,7227,16730,24082,6140,42195,5378,43445,7765,*37275,*24860,*4126,13239,*12460,11045,*18280,7037,48823,36674,4378,4921,2849,1941,46882
RTV,,18%,17%,19%,23%,18%,15%,21%,22%,21%,17%,13%,18%,21%,17%,14%,12%,17%,19%,18%,18%,18%,20%,10%,10%,14%,18%,25%,18%,18%,18%,17%,18%,21%,14%,17%,18%,19%,20%,17%,20%,18%,20%,18%,16%,19%,20%,29%,20%,15%,17%,20%,19%,18%,17%,19%,23%,18%,26%,18%
PRC,Quality: poor quality application,36771,*30394,1417,*3629,1331,*803,2820,2614,9263,13594,7677,*11679,12018,8114,4441,519,22184,*4964,9623,7406,29150,29666,3548,3303,539,2244,2369,31480,36771,36771,12619,24153,10916,*2435,17665,31015,5756,12491,18121,4178,32207,3748,33023,7008,27627,17604,*2933,8963,10261,9289,13293,3928,36771,28525,2830,2490,2926,1091,35680
RTV,,13%,13%,18%,17%,12%,7%,16%,13%,13%,14%,15%,11%,16%,15%,15%,14%,13%,17%,12%,13%,14%,14%,10%,14%,6%,12%,14%,14%,13%,13%,15%,13%,14%,9%,14%,13%,15%,15%,13%,14%,14%,14%,13%,14%,14%,14%,20%,13%,13%,14%,15%,11%,13%,13%,12%,11%,18%,14%,13%
PRC,Quality: other,4632,4032,45,441,115,0,162,528,942,1648,1353,1798,1463,966,382,24,2849,581,1201,1390,3097,*2841,870,*921,145,0,451,4036,4632,4632,1171,3316,*347,584,2655,3586,1046,1039,2402,*1123,*3509,*1060,*3572,522,3403,*1091,156,1537,1250,*1793,1271,318,4632,3537,698,48,349,0,4632
RTV,,2%,2%,1%,2%,1%,0%,1%,3%,1%,2%,3%,2%,2%,2%,1%,1%,2%,2%,2%,3%,1%,1%,3%,4%,2%,0%,3%,2%,2%,2%,1%,2%,*%,2%,2%,2%,3%,1%,2%,4%,1%,4%,1%,1%,2%,1%,1%,2%,2%,3%,1%,1%,2%,2%,3%,*%,2%,0%,2%
PRC,NET: QUALITY,123384,*103612,3848,*11391,4534,*3280,*9906,10003,31793,44724,23677,*44926,36609,*26397,13615,1837,75144,13166,35074,24821,96062,97841,*13130,11335,3411,7470,7959,103693,123384,123384,*40931,*82285,34775,11028,59331,105134,18250,39925,63427,13443,108910,12159,111224,20912,*93158,58100,6783,31680,35480,*32273,41665,*13966,123384,95458,11522,9676,6728,2949,120435
RTV,,45%,45%,49%,54%,41%,28%,55%,50%,43%,46%,45%,41%,47%,49%,47%,50%,46%,46%,44%,45%,45%,46%,39%,48%,38%,39%,47%,46%,45%,45%,49%,44%,43%,41%,47%,45%,47%,47%,44%,44%,46%,45%,45%,42%,48%,46%,47%,47%,44%,49%,46%,38%,45%,45%,51%,45%,41%,39%,45%
PRC,Insurance,7056,6080,211,250,*514,571,125,184,*3413,2654,*109,2730,1766,1919,481,159,*5447,358,*1251,1026,6030,*6947,*95,*14,269,312,529,5932,7056,7056,*677,*6379,1611,479,3499,5589,1466,1949,3640,*264,*6791,*151,*6905,*265,*5754,*4877,*1037,1032,1267,*-,*3230,*2558,7056,5296,658,293,808,0,7056
RTV,,3%,3%,3%,1%,5%,5%,1%,1%,5%,3%,*%,3%,2%,4%,2%,4%,3%,1%,2%,2%,3%,3%,*%,*%,3%,2%,3%,3%,3%,3%,1%,3%,2%,2%,3%,2%,4%,2%,3%,1%,3%,1%,3%,1%,3%,4%,7%,2%,2%,0%,4%,7%,3%,2%,3%,1%,5%,0%,3%
PRC,Age issue / too young / needed someone older,17522,14662,574,1389,896,887,952,1254,*7322,*4324,2784,6273,5710,3287,2056,195,10948,*1082,5492,3739,13651,*15100,*1082,1206,268,883,1269,15038,17522,17522,4652,12870,5228,1695,7430,14352,3169,5086,8968,*2893,*14224,*2533,*14989,3026,11417,7765,*1524,5338,5287,*2457,5788,*3990,17522,12914,1741,1438,1428,883,16639
RTV,,6%,6%,7%,7%,8%,8%,5%,6%,10%,4%,5%,6%,7%,6%,7%,5%,7%,4%,7%,7%,6%,7%,3%,5%,3%,5%,8%,7%,6%,6%,6%,7%,6%,6%,6%,6%,8%,6%,6%,9%,6%,9%,6%,6%,6%,6%,11%,8%,6%,4%,6%,11%,6%,6%,8%,7%,9%,12%,6%
PRC,Other,26317,*23400,*309,1564,1044,828,1382,*3046,7501,*11049,*2512,*13930,6992,*3355,*1612,429,*17850,2469,*5997,*3961,*21796,*21779,3020,*1387,793,*3138,872,21238,26317,26317,8051,18178,8282,*3582,*8009,*19873,*6444,*6493,13153,*3946,22229,*3535,*22782,4934,19280,13220,1673,6639,*9855,5924,*6803,3736,26317,*16637,*3461,*3236,*2983,729,25588
RTV,,10%,10%,4%,7%,10%,7%,8%,15%,10%,11%,5%,13%,9%,6%,6%,12%,11%,9%,8%,7%,10%,10%,9%,6%,9%,16%,5%,9%,10%,10%,10%,10%,10%,13%,6%,9%,17%,8%,9%,13%,9%,13%,9%,10%,10%,10%,12%,10%,12%,9%,8%,10%,10%,8%,15%,15%,18%,10%,10%
PRC,No reason / don't know,19544,16854,668,1305,716,*1519,927,*634,6155,7047,3262,8647,5402,3542,1777,176,*10067,2208,*7268,4533,14489,14434,2125,*2500,*1429,*439,1383,16085,19544,19544,5326,13916,6547,1656,8733,16937,2607,4992,10673,*1196,17590,*644,*18899,4347,*12210,9161,562,4040,5279,*5987,6766,*1512,19544,15901,1309,1035,1297,*-,19544
RTV,,7%,7%,9%,6%,7%,13%,5%,3%,8%,7%,6%,8%,7%,7%,6%,5%,6%,8%,9%,8%,7%,7%,6%,11%,16%,2%,8%,7%,7%,7%,6%,7%,8%,6%,7%,7%,7%,6%,7%,4%,7%,2%,8%,9%,6%,7%,4%,6%,6%,9%,8%,4%,7%,8%,6%,5%,8%,0%,7%
JF,Research conducted by IFF Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
