C17 - If have had anyone on the following placements in the last 12 months,
,,Country,,,,6 Sector grouping,,,,,,Establishment size,,,,,Type of site,,,SME,,Organisation type,,,Length of time operating,,,,Vacancies in last 12 months,,Recruited in last 12 months,,Work experience,,Training,,,,,Vocational Qualifications,,Apprenticeships,,Formal Apprenticeships,,Investors in People,,Business outlook - next 12 months,,,Largest staff group,,,,Vacancies/Recruitment,,,Training and Planning,,,,Young Growth Businesses,
Type of placement unknown,1,1,1,1,*,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,*,2,1
Offered any type of work placement,27,27,32,27,30,17,19,15,21,31,51,20,28,35,47,67,25,38,30,33,26,23,52,50,19,25,26,28,34,21,34,29,100,0,22,29,39,31,16,41,26,45,24,46,24,38,25,26,18,22,25,28,30,23,34,29,21,33,20,22,12,29,27
Only Internships,1,1,1,1,1,*,1,1,*,1,1,1,1,1,1,1,1,1,1,1,1,1,2,*,*,*,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,*,1,1,1,1,1,1,1,1,1,*,1,1,1,1,1,1,1,1,1
Only Work Experience,1,1,2,2,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,4,2,3,1,2,1,2,3,5,0,2,1,2,2,1,2,1,2,1,2,1,2,1,2,*,1,1,1,1,2,2,3,1,2,1,1,*,2,1
Only Education placements,16,16,18,14,16,11,11,9,12,19,29,12,17,22,27,30,15,21,16,15,16,14,22,31,8,13,14,17,18,14,18,16,59,0,12,19,22,18,11,22,15,23,15,25,15,19,16,14,12,15,14,16,19,13,18,16,14,18,12,14,10,14,16
Any Internships,4,4,4,4,3,1,3,1,2,6,7,2,3,4,7,19,3,7,3,5,3,3,10,5,2,3,4,4,5,2,5,4,13,0,3,3,6,4,2,5,4,6,3,6,3,5,3,4,2,2,4,5,3,2,5,4,2,5,2,2,1,3,4
Any Work Experience,7,7,10,8,10,4,5,3,7,6,15,5,7,8,14,21,5,9,11,12,6,5,22,13,8,8,7,7,11,4,11,9,26,0,7,6,11,9,3,13,6,15,6,16,6,13,6,7,4,4,6,7,8,8,11,9,4,9,4,5,1,10,7
Any education placements,24,23,26,23,26,14,16,12,18,27,47,16,24,31,43,62,21,34,26,28,23,20,45,47,13,19,21,25,29,18,30,24,86,0,18,25,34,27,14,36,22,40,21,41,21,33,22,22,16,19,22,24,27,20,30,24,18,28,16,18,11,21,24

var c17 = {
	columns: ["England","Northern Ireland","Scotland","Wales","Primary sector and utilities","Manufacturing","Construction","Trade, accommodation and transport","Business and other services","Non-market services","2 to 4","5 to 9","10 to 24","25 to 99","100+","For profit","Charity","Government","Yes - any","No"]
	headings: ["Placements for people at school","Placements for people at college","Placements for people at university","Internships, either paid or unpaid","Placements targeted at giving work experience to the unemployed","Work trials for potential new recruits","Other type of placements","Do not offer placements","Don't know if offer placements","Type of placement unknown","Offered any type of work placement","Only Internships","Only Work Experience","Only Education placements","Any Internships","Any Work Experience","Any education placements"]
	data: [
		[18,18,17,16,20,8,13,9,15,20,34,12,18,23,31,49,16,25,19,20,17,15,29,37,10,13,15,18,21,15,21,18,64,0,13,20,25,20,11,27,16,32,15,33,15,24,16,16,13,15,16,17,21,16,21,18,15,21,13,13,9,14,18],
		[9,9,14,8,11,6,4,3,6,9,29,5,9,13,21,29,8,13,12,13,9,7,24,25,7,7,7,10,12,7,13,9,34,0,7,9,16,11,4,17,8,19,7,20,8,16,8,8,5,6,8,8,12,8,13,9,7,12,5,6,3,6,9],
		[7,7,8,8,6,4,4,2,3,9,18,4,6,10,17,33,5,14,8,11,6,5,19,20,3,6,6,7,10,4,11,6,25,0,5,6,12,9,2,11,7,10,6,10,6,12,6,7,2,4,8,9,7,4,11,6,4,9,3,4,1,10,7],
		[3,3,4,3,3,1,3,1,2,5,7,2,3,4,7,19,3,7,3,5,3,3,10,5,1,3,4,4,5,2,5,3,13,0,3,3,5,4,2,5,3,6,3,5,3,5,3,4,2,2,4,5,3,2,5,3,2,4,2,2,1,3,3],
		[4,4,8,6,7,3,1,2,5,3,9,3,4,4,7,15,3,5,8,9,3,3,17,8,4,4,3,4,6,3,6,4,15,0,5,3,6,5,2,7,3,9,3,9,3,9,3,3,2,2,4,4,4,5,6,4,3,5,2,2,1,3,4],
		[3,3,2,3,4,2,3,2,3,4,5,2,4,4,8,8,3,4,4,4,3,3,5,3,4,5,4,3,6,1,6,4,12,0,3,3,5,4,1,6,3,8,2,9,2,5,3,4,2,2,2,3,4,3,6,4,1,4,2,3,0,9,3],
		[2,2,1,2,2,1,1,1,1,2,5,1,1,2,3,5,1,3,2,3,1,1,7,5,2,1,1,2,2,1,2,2,6,0,1,2,3,2,0,3,2,2,1,2,1,3,1,1,0,1,2,2,1,1,2,2,1,2,1,1,0,2,2],
		[72,73,68,73,70,83,80,85,78,68,48,80,72,64,52,32,75,61,69,66,74,76,47,50,81,75,74,72,66,79,65,71,0,100,77,71,61,68,84,59,74,55,76,53,75,61,75,74,82,77,74,71,69,76,65,71,79,67,80,78,88,71,72],
		[0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,2,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0],
		[1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1],
		[27,27,32,27,30,17,19,15,21,31,51,20,28,35,47,67,25,38,30,33,26,23,52,50,19,25,26,28,34,21,34,29,100,0,22,29,39,31,16,41,26,45,24,46,24,38,25,26,18,22,25,28,30,23,34,29,21,33,20,22,12,29,27],
		[1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1],
		[1,1,2,2,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,4,2,3,1,2,1,2,3,5,0,2,1,2,2,1,2,1,2,1,2,1,2,1,2,0,1,1,1,1,2,2,3,1,2,1,1,0,2,1],
		[16,16,18,14,16,11,11,9,12,19,29,12,17,22,27,30,15,21,16,15,16,14,22,31,8,13,14,17,18,14,18,16,59,0,12,19,22,18,11,22,15,23,15,25,15,19,16,14,12,15,14,16,19,13,18,16,14,18,12,14,10,14,16],
		[4,4,4,4,3,1,3,1,2,6,7,2,3,4,7,19,3,7,3,5,3,3,10,5,2,3,4,4,5,2,5,4,13,0,3,3,6,4,2,5,4,6,3,6,3,5,3,4,2,2,4,5,3,2,5,4,2,5,2,2,1,3,4],
		[7,7,10,8,10,4,5,3,7,6,15,5,7,8,14,21,5,9,11,12,6,5,22,13,8,8,7,7,11,4,11,9,26,0,7,6,11,9,3,13,6,15,6,16,6,13,6,7,4,4,6,7,8,8,11,9,4,9,4,5,1,10,7],
		[24,23,26,23,26,14,16,12,18,27,47,16,24,31,43,62,21,34,26,28,23,20,45,47,13,19,21,25,29,18,30,24,86,0,18,25,34,27,14,36,22,40,21,41,21,33,22,22,16,19,22,24,27,20,30,24,18,28,16,18,11,21,24]
	]
}
